url,max_intra,min_inter,url_mas_cercana,access_id_url,access_id_url_mas_cercana,riesgo_solape,solape_exacto,distancia_wasserstein_min,distancia_lcss_min,distancia_watson_min
t.co,0.1163194444444444,0.0,goo.gl,captura_0000176_H123.csv:linea_3,captura_0000060_H123.csv:linea_3,True,False,0.0,0.0,0.0
tiktokv.com,0.3384259259259259,0.0,adnxs.com,captura_0000068_H123.csv:linea_3,captura_0000123_H123.csv:linea_3,True,False,0.0,0.0,0.0
unity3d.com,0.1333884297520661,0.0,adnxs.com,captura_0000097_H123.csv:linea_3,captura_0000123_H123.csv:linea_3,True,False,0.0,0.0,0.0
xiaomi.com,0.1966919191919191,0.0,adnxs.com,captura_0000148_H123.csv:linea_8,captura_0000123_H123.csv:linea_3,True,False,0.0,0.0,0.0
google.com,0.3196858389329054,0.005747126436781609,googlesyndication.com,captura_0000001_H123.csv:linea_3,captura_0000056_H123.csv:linea_15,True,False,0.011494252873563218,0.0,0.005747126436781609
twitter.com,0.3644444140898207,0.006351175706014414,x.com,captura_0000013_H123.csv:linea_75,captura_0000079_H123.csv:linea_15,True,False,0.007326007326007327,0.005376344086021501,0.006351175706014414
x.com,0.3323348108463066,0.006351175706014414,twitter.com,captura_0000079_H123.csv:linea_15,captura_0000013_H123.csv:linea_75,True,False,0.007326007326007327,0.005376344086021501,0.006351175706014414
facebook.com,0.2459303721488595,0.015151515151515152,fbcdn.net,captura_0000004_H123.csv:linea_67,captura_0000027_H123.csv:linea_55,True,False,0.030303030303030304,0.0,0.015151515151515152
fbcdn.net,0.1612874779541446,0.015151515151515152,facebook.com,captura_0000027_H123.csv:linea_55,captura_0000004_H123.csv:linea_67,True,False,0.030303030303030304,0.0,0.015151515151515152
gstatic.com,0.1033087791329549,0.016666666666666666,googleadservices.com,captura_0000018_H123.csv:linea_3,captura_0000100_H123.csv:linea_31,True,False,0.03333333333333333,0.0,0.016666666666666666
adobe.com,0.2677469135802469,0.018518518518518517,intuit.com,captura_0000063_H123.csv:linea_3,captura_0000077_H123.csv:linea_47,True,False,0.037037037037037035,0.0,0.018518518518518517
intuit.com,2.6095238095238096,0.018518518518518517,adobe.com,captura_0000077_H123.csv:linea_47,captura_0000063_H123.csv:linea_3,True,False,0.037037037037037035,0.0,0.018518518518518517
trbcdn.net,0.1197773186409549,0.020833333333333332,intuit.com,captura_0000158_H123.csv:linea_3,captura_0000077_H123.csv:linea_47,True,False,0.041666666666666664,0.0,0.020833333333333332
userapi.com,0.271721496197548,0.02721425926598179,vk.com,captura_0000141_H123.csv:linea_19,captura_0000119_H123.csv:linea_27,True,False,0.012269938650306749,0.04215857988165683,0.02721425926598179
vk.com,0.3120848609233456,0.02721425926598179,userapi.com,captura_0000119_H123.csv:linea_27,captura_0000141_H123.csv:linea_19,True,False,0.012269938650306749,0.04215857988165683,0.02721425926598179
doubleclick.net,0.3089693024164192,0.030100422832980964,google-analytics.com,captura_0000032_H123.csv:linea_23,captura_0000069_H123.csv:linea_19,True,False,0.015503875968992248,0.04469696969696968,0.030100422832980964
google-analytics.com,0.2315796572256989,0.030100422832980964,doubleclick.net,captura_0000069_H123.csv:linea_19,captura_0000032_H123.csv:linea_23,True,False,0.015503875968992248,0.04469696969696968,0.030100422832980964
whatsapp.com,0.2968890143506951,0.035714285714285726,whatsapp.net,captura_0000058_H123.csv:linea_11,captura_0000047_H123.csv:linea_7,True,False,0.015873015873015872,0.05555555555555558,0.035714285714285726
whatsapp.net,0.2691127669945048,0.035714285714285726,whatsapp.com,captura_0000047_H123.csv:linea_7,captura_0000058_H123.csv:linea_11,True,False,0.015873015873015872,0.05555555555555558,0.035714285714285726
amazon-adsystem.com,0.1333884297520661,0.037037037037037035,adnxs.com,captura_0000115_H123.csv:linea_3,captura_0000123_H123.csv:linea_3,True,False,0.07407407407407407,0.0,0.037037037037037035
dzen.ru,1.0669444444444445,0.04288048552754436,yandex.net,captura_0000005_H123.csv:linea_35,captura_0000085_H123.csv:linea_27,True,False,0.027777777777777776,0.05798319327731094,0.04288048552754436
yandex.net,0.7287581699346406,0.04288048552754436,dzen.ru,captura_0000085_H123.csv:linea_27,captura_0000005_H123.csv:linea_35,True,False,0.027777777777777776,0.05798319327731094,0.04288048552754436
t.me,0.3434971687463677,0.04334616001282669,workers.dev,captura_0000118_H123.csv:linea_35,captura_0000026_H123.csv:linea_51,True,False,0.006172839506172839,0.08051948051948055,0.04334616001282669
workers.dev,0.3874198514194953,0.04334616001282669,t.me,captura_0000026_H123.csv:linea_51,captura_0000118_H123.csv:linea_35,True,False,0.006172839506172839,0.08051948051948055,0.04334616001282669
youtu.be,0.3448891217167263,0.06056400604794026,youtube.com,captura_0000049_H123.csv:linea_3,captura_0000009_H123.csv:linea_11,True,False,0.01532567049808429,0.10580234159779622,0.06056400604794026
youtube.com,0.3466905836016492,0.06056400604794026,youtu.be,captura_0000009_H123.csv:linea_11,captura_0000049_H123.csv:linea_3,True,False,0.01532567049808429,0.10580234159779622,0.06056400604794026
yandex.ru,1.06,0.0642361111111111,dzen.ru,captura_0000187_H123.csv:linea_23,captura_0000005_H123.csv:linea_47,True,False,0.0,0.1284722222222222,0.0642361111111111
wildberries.ru,0.1487755420193472,0.06703727031245721,t.me,captura_0000179_H123.csv:linea_15,captura_0000118_H123.csv:linea_27,True,False,0.032051282051282055,0.10202325857363237,0.06703727031245721
meraki.com,0.4130838619438662,0.07307921936032799,mozilla.org,captura_0000167_H123.csv:linea_59,captura_0000088_H123.csv:linea_3,True,False,0.04575163398692811,0.10040680473372787,0.07307921936032799
mozilla.org,0.3116703998672639,0.07307921936032799,meraki.com,captura_0000088_H123.csv:linea_3,captura_0000167_H123.csv:linea_59,True,False,0.04575163398692811,0.10040680473372787,0.07307921936032799
cloudflare.net,0.1366639845902518,0.08121117842271686,medium.com,captura_0000075_H123.csv:linea_51,captura_0000168_H123.csv:linea_7,True,False,0.08465608465608465,0.07776627218934906,0.08121117842271686
medium.com,0.1778885886840432,0.08121117842271686,cloudflare.net,captura_0000168_H123.csv:linea_7,captura_0000075_H123.csv:linea_51,True,False,0.08465608465608465,0.07776627218934906,0.08121117842271686
apple.com,0.3845745419314056,0.09166666666666666,mozilla.org,captura_0000008_H123.csv:linea_79,captura_0000088_H123.csv:linea_27,True,False,0.05833333333333333,0.125,0.09166666666666666
reddit.com,0.2090729783037475,0.10508207070707072,app-analytics-services.com,captura_0000099_H123.csv:linea_3,captura_0000130_H123.csv:linea_71,True,False,0.030303030303030304,0.17986111111111114,0.10508207070707072
epicgames.com,0.1147251857634371,0.1064068100358423,medium.com,captura_0000137_H123.csv:linea_3,captura_0000168_H123.csv:linea_15,True,False,0.03225806451612903,0.18055555555555558,0.1064068100358423
aliyuncs.com,0.3148056320783594,0.11249999999999999,adnxs.com,captura_0000164_H123.csv:linea_4,captura_0000123_H123.csv:linea_3,True,False,0.0,0.22499999999999998,0.11249999999999999
opera.com,0.2933049332919034,0.11253561253561253,telekom.net,captura_0000094_H123.csv:linea_49,captura_0000124_H123.csv:linea_43,True,False,0.04487179487179488,0.1801994301994302,0.11253561253561253
telekom.net,0.1490473134246027,0.11253561253561253,opera.com,captura_0000124_H123.csv:linea_43,captura_0000094_H123.csv:linea_49,True,False,0.04487179487179488,0.1801994301994302,0.11253561253561253
live.com,0.3209017994187383,0.11847033406032892,outlook.com,captura_0000022_H123.csv:linea_41,captura_0000114_H123.csv:linea_70,True,False,0.031531531531531536,0.2054091365891263,0.11847033406032892
outlook.com,0.6153813225575068,0.11847033406032892,live.com,captura_0000114_H123.csv:linea_70,captura_0000022_H123.csv:linea_41,True,False,0.031531531531531536,0.2054091365891263,0.11847033406032892
okcdn.ru,0.249537037037037,0.12878787878787878,reddit.com,captura_0000136_H123.csv:linea_3,captura_0000099_H123.csv:linea_3,True,False,0.06666666666666667,0.19090909090909092,0.12878787878787878
lencr.org,0.2884399551066218,0.13289872730538138,gandi.net,captura_0000160_H123.csv:linea_51,captura_0000091_H123.csv:linea_3,True,False,0.022988505747126436,0.24280894886363635,0.13289872730538138
archive.org,0.3245546898249601,0.13291030907668233,meraki.com,captura_0000154_H123.csv:linea_31,captura_0000167_H123.csv:linea_3,True,False,0.014084507042253521,0.25173611111111116,0.13291030907668233
blogspot.com,0.4112967715661318,0.1411297661297661,icloud.com,captura_0000096_H123.csv:linea_3,captura_0000046_H123.csv:linea_79,True,False,0.06481481481481481,0.21744471744471738,0.1411297661297661
icloud.com,0.2901992901992902,0.1411297661297661,blogspot.com,captura_0000046_H123.csv:linea_79,captura_0000096_H123.csv:linea_3,True,False,0.06481481481481481,0.21744471744471738,0.1411297661297661
baidu.com,0.2933382082660928,0.14250501873389743,github.io,captura_0000107_H123.csv:linea_106,captura_0000132_H123.csv:linea_7,True,False,0.02150537634408602,0.26350466112370885,0.14250501873389743
