dataset,repeticiones_configuradas,repeticion,N,distance,accuracy
sin_outliers,100,30,6,watson,0.8920863309352518
sin_outliers,100,31,6,watson,0.8992805755395683
sin_outliers,100,32,6,watson,0.8848920863309353
sin_outliers,100,33,6,watson,0.9064748201438849
sin_outliers,100,34,6,watson,0.9136690647482014
sin_outliers,100,35,6,watson,0.8920863309352518
sin_outliers,100,36,6,watson,0.9064748201438849
sin_outliers,100,37,6,watson,0.9136690647482014
sin_outliers,100,38,6,watson,0.8776978417266187
sin_outliers,100,39,6,watson,0.9136690647482014
sin_outliers,100,40,6,watson,0.8920863309352518
sin_outliers,100,41,6,watson,0.8992805755395683
sin_outliers,100,42,6,watson,0.8992805755395683
sin_outliers,100,43,6,watson,0.8920863309352518
sin_outliers,100,44,6,watson,0.8992805755395683
sin_outliers,100,45,6,watson,0.8920863309352518
sin_outliers,100,46,6,watson,0.8920863309352518
sin_outliers,100,47,6,watson,0.8920863309352518
sin_outliers,100,48,6,watson,0.9064748201438849
sin_outliers,100,49,6,watson,0.8992805755395683
sin_outliers,100,50,6,watson,0.8848920863309353
sin_outliers,100,51,6,watson,0.8992805755395683
sin_outliers,100,52,6,watson,0.8992805755395683
sin_outliers,100,53,6,watson,0.8920863309352518
sin_outliers,100,54,6,watson,0.8920863309352518
sin_outliers,100,55,6,watson,0.8848920863309353
sin_outliers,100,56,6,watson,0.9136690647482014
sin_outliers,100,57,6,watson,0.9136690647482014
sin_outliers,100,58,6,watson,0.8992805755395683
sin_outliers,100,59,6,watson,0.9064748201438849
sin_outliers,100,60,6,watson,0.9064748201438849
sin_outliers,100,61,6,watson,0.8992805755395683
sin_outliers,100,62,6,watson,0.8920863309352518
sin_outliers,100,63,6,watson,0.8992805755395683
sin_outliers,100,64,6,watson,0.9136690647482014
sin_outliers,100,65,6,watson,0.8920863309352518
sin_outliers,100,66,6,watson,0.9136690647482014
sin_outliers,100,67,6,watson,0.8920863309352518
sin_outliers,100,68,6,watson,0.9064748201438849
sin_outliers,100,69,6,watson,0.8992805755395683
sin_outliers,100,70,6,watson,0.8848920863309353
sin_outliers,100,71,6,watson,0.9136690647482014
sin_outliers,100,72,6,watson,0.9136690647482014
sin_outliers,100,73,6,watson,0.9136690647482014
sin_outliers,100,74,6,watson,0.8920863309352518
sin_outliers,100,75,6,watson,0.8848920863309353
sin_outliers,100,76,6,watson,0.8992805755395683
sin_outliers,100,77,6,watson,0.8920863309352518
sin_outliers,100,78,6,watson,0.9064748201438849
sin_outliers,100,79,6,watson,0.9136690647482014
sin_outliers,100,80,6,watson,0.8776978417266187
sin_outliers,100,81,6,watson,0.9136690647482014
sin_outliers,100,82,6,watson,0.8992805755395683
sin_outliers,100,83,6,watson,0.8992805755395683
sin_outliers,100,84,6,watson,0.8920863309352518
sin_outliers,100,85,6,watson,0.8920863309352518
sin_outliers,100,86,6,watson,0.8920863309352518
sin_outliers,100,87,6,watson,0.8920863309352518
sin_outliers,100,88,6,watson,0.9136690647482014
sin_outliers,100,89,6,watson,0.9064748201438849
sin_outliers,100,90,6,watson,0.8920863309352518
sin_outliers,100,91,6,watson,0.920863309352518
sin_outliers,100,92,6,watson,0.8920863309352518
sin_outliers,100,93,6,watson,0.8920863309352518
sin_outliers,100,94,6,watson,0.9064748201438849
sin_outliers,100,95,6,watson,0.9064748201438849
sin_outliers,100,96,6,watson,0.9136690647482014
sin_outliers,100,97,6,watson,0.8992805755395683
sin_outliers,100,98,6,watson,0.8848920863309353
sin_outliers,100,99,6,watson,0.8992805755395683
sin_outliers,100,100,6,watson,0.9136690647482014
